# Traversio public API baseline
# Generated with: swift package dump-symbol-graph --minimum-access-level public --skip-synthesized-members
# Format: kind<TAB>path<TAB>precise-symbol-id<TAB>declaration
swift.type.method	SSHClientLogHandler.sink(minimumLevel:_:)	s:9Traversio19SSHClientLogHandlerV4sink12minimumLevel_AcA0bcG0O_yAA0bC5EventVYbctFZ	static func sink(minimumLevel: SSHClientLogLevel = .info, _ emitter: @escaping @Sendable (SSHClientLogEvent) -> Void) -> SSHClientLogHandler
swift.enum	SSHClientLogLevel	s:9Traversio17SSHClientLogLevelO	enum SSHClientLogLevel
swift.func.op	SSHClientLogLevel.<(_:_:)	s:9Traversio17SSHClientLogLevelO1loiySbAC_ACtFZ	static func < (lhs: SSHClientLogLevel, rhs: SSHClientLogLevel) -> Bool
swift.enum.case	SSHClientLogLevel.debug	s:9Traversio17SSHClientLogLevelO5debugyA2CmF	case debug
swift.enum.case	SSHClientLogLevel.error	s:9Traversio17SSHClientLogLevelO5erroryA2CmF	case error
swift.enum.case	SSHClientLogLevel.info	s:9Traversio17SSHClientLogLevelO4infoyA2CmF	case info
swift.init	SSHClientLogLevel.init(rawValue:)	s:9Traversio17SSHClientLogLevelO8rawValueACSgSi_tcfc	init?(rawValue: Int)
swift.enum.case	SSHClientLogLevel.notice	s:9Traversio17SSHClientLogLevelO6noticeyA2CmF	case notice
swift.enum.case	SSHClientLogLevel.warning	s:9Traversio17SSHClientLogLevelO7warningyA2CmF	case warning
swift.class	SSHClientLogRecorder	s:9Traversio20SSHClientLogRecorderC	final class SSHClientLogRecorder
swift.method	SSHClientLogRecorder.clear()	s:9Traversio20SSHClientLogRecorderC5clearyyF	func clear()
swift.method	SSHClientLogRecorder.diagnosticReport(for:)	s:9Traversio20SSHClientLogRecorderC16diagnosticReport3forSSSgs5Error_pSg_tF	func diagnosticReport(for error: (any Error)? = nil) -> String?
swift.init	SSHClientLogRecorder.init(maximumEventCount:)	s:9Traversio20SSHClientLogRecorderC17maximumEventCountACSi_tcfc	init(maximumEventCount: Int = 80)
swift.method	SSHClientLogRecorder.logHandler(minimumLevel:)	s:9Traversio20SSHClientLogRecorderC10logHandler12minimumLevelAA0bcF0VAA0bcH0O_tF	func logHandler(minimumLevel: SSHClientLogLevel = .info) -> SSHClientLogHandler
swift.method	SSHClientLogRecorder.record(_:)	s:9Traversio20SSHClientLogRecorderC6recordyyAA0bC5EventVF	func record(_ event: SSHClientLogEvent)
swift.method	SSHClientLogRecorder.snapshot()	s:9Traversio20SSHClientLogRecorderC8snapshotAA0bcD8SnapshotVyF	func snapshot() -> SSHClientLogRecorderSnapshot
swift.struct	SSHClientLogRecorderSnapshot	s:9Traversio28SSHClientLogRecorderSnapshotV	struct SSHClientLogRecorderSnapshot
swift.method	SSHClientLogRecorderSnapshot.diagnosticReport(for:)	s:9Traversio28SSHClientLogRecorderSnapshotV16diagnosticReport3forSSSgs5Error_pSg_tF	func diagnosticReport(for error: (any Error)? = nil) -> String?
swift.property	SSHClientLogRecorderSnapshot.droppedEventCount	s:9Traversio28SSHClientLogRecorderSnapshotV17droppedEventCountSivp	let droppedEventCount: Int
swift.property	SSHClientLogRecorderSnapshot.events	s:9Traversio28SSHClientLogRecorderSnapshotV6eventsSayAA0bC5EventVGvp	let events: [SSHClientLogEvent]
swift.property	SSHClientLogRecorderSnapshot.formattedLines	s:9Traversio28SSHClientLogRecorderSnapshotV14formattedLinesSaySSGvp	var formattedLines: [String] { get }
swift.property	SSHClientLogRecorderSnapshot.formattedText	s:9Traversio28SSHClientLogRecorderSnapshotV13formattedTextSSvp	var formattedText: String { get }
swift.property	SSHClientLogRecorderSnapshot.maximumEventCount	s:9Traversio28SSHClientLogRecorderSnapshotV17maximumEventCountSivp	let maximumEventCount: Int
swift.enum	SSHCompressionPreference	s:9Traversio24SSHCompressionPreferenceO	enum SSHCompressionPreference
swift.enum.case	SSHCompressionPreference.delayedZlib	s:9Traversio24SSHCompressionPreferenceO11delayedZlibyA2CmF	case delayedZlib
swift.enum.case	SSHCompressionPreference.disabled	s:9Traversio24SSHCompressionPreferenceO8disabledyA2CmF	case disabled
swift.enum.case	SSHCompressionPreference.zlib	s:9Traversio24SSHCompressionPreferenceO4zlibyA2CmF	case zlib
swift.struct	SSHConnection	s:9Traversio13SSHConnectionV	struct SSHConnection
swift.method	SSHConnection.close()	s:9Traversio13SSHConnectionV5closeyyYaF	func close() async
swift.method	SSHConnection.currentState()	s:9Traversio13SSHConnectionV12currentStateAA0bD8SnapshotVyYaF	func currentState() async -> SSHConnectionStateSnapshot
swift.method	SSHConnection.downloadSCPFile(_:to:maximumFileSize:)	s:9Traversio13SSHConnectionV15downloadSCPFile_2to15maximumFileSizeAA20SSHSCPTransferResultVSS_10Foundation3URLVSitYaKF	func downloadSCPFile(_ remotePath: String, to localURL: URL, maximumFileSize: Int = SSHSCPTransferDefaults.maximumBufferedFileByteCount) async throws -> SSHSCPTransferResult
swift.method	SSHConnection.execute(_:environment:)	s:9Traversio13SSHConnectionV7execute_11environmentAA13SSHExecResultVSS_SayAA29SSHSessionEnvironmentVariableVGtYaKF	func execute(_ command: String, environment: [SSHSessionEnvironmentVariable] = []) async throws -> SSHExecResult
swift.property	SSHConnection.latency	s:9Traversio13SSHConnectionV7latencyAA0B7LatencyVSgvp	var latency: SSHConnectionLatency? { get async }
swift.property	SSHConnection.metadata	s:9Traversio13SSHConnectionV8metadataAA0B8MetadataVvp	let metadata: SSHConnectionMetadata
swift.method	SSHConnection.openDirectStreamLocalChannel(socketPath:originatorAddress:originatorPort:)	s:9Traversio13SSHConnectionV28openDirectStreamLocalChannel10socketPath17originatorAddress0J4PortAA09SSHDirectefG0VSS_SSs6UInt16VtYaKF	func openDirectStreamLocalChannel(socketPath: String, originatorAddress: String = "127.0.0.1", originatorPort: UInt16 = 0) async throws -> SSHDirectStreamLocalChannel
swift.method	SSHConnection.openDirectTCPIPChannel(targetHost:targetPort:originatorAddress:originatorPort:)	s:9Traversio13SSHConnectionV22openDirectTCPIPChannel10targetHost0F4Port17originatorAddress0iH0AA09SSHDirectE0VSS_s6UInt16VSSALtYaKF	func openDirectTCPIPChannel(targetHost: String, targetPort: UInt16, originatorAddress: String = "127.0.0.1", originatorPort: UInt16 = 0) async throws -> SSHDirectTCPIPChannel
swift.method	SSHConnection.openExec(_:environment:)	s:9Traversio13SSHConnectionV8openExec_11environmentAA10SSHSessionVSS_SayAA0F19EnvironmentVariableVGtYaKF	func openExec(_ command: String, environment: [SSHSessionEnvironmentVariable] = []) async throws -> SSHSession
swift.method	SSHConnection.openSFTP(clientVersion:)	s:9Traversio13SSHConnectionV8openSFTP13clientVersionAA10SFTPClientVs6UInt32V_tYaKF	func openSFTP(clientVersion: UInt32 = 3) async throws -> SFTPClient
swift.method	SSHConnection.openShell(pseudoTerminalRequest:environment:)	s:9Traversio13SSHConnectionV9openShell21pseudoTerminalRequest11environmentAA10SSHSessionVAA09SSHPseudofG0V_SayAA0I19EnvironmentVariableVGtYaKF	func openShell(pseudoTerminalRequest: SSHPseudoTerminalRequest = .default, environment: [SSHSessionEnvironmentVariable] = []) async throws -> SSHSession
swift.method	SSHConnection.openSubsystem(_:environment:)	s:9Traversio13SSHConnectionV13openSubsystem_11environmentAA10SSHSessionVSS_SayAA0F19EnvironmentVariableVGtYaKF	func openSubsystem(_ subsystem: String, environment: [SSHSessionEnvironmentVariable] = []) async throws -> SSHSession
swift.method	SSHConnection.receiveSCPFile(_:maximumFileSize:)	s:9Traversio13SSHConnectionV14receiveSCPFile_15maximumFileSizeAA014SSHSCPReceivedF0VSS_SitYaKF	func receiveSCPFile(_ remotePath: String, maximumFileSize: Int = SSHSCPTransferDefaults.maximumBufferedFileByteCount) async throws -> SSHSCPReceivedFile
swift.method	SSHConnection.sendSCPFile(_:remotePath:fileName:permissions:)	s:9Traversio13SSHConnectionV11sendSCPFile_10remotePath8fileName11permissionsAA20SSHSCPTransferResultVSays5UInt8VG_S2SSgs6UInt16VtYaKF	func sendSCPFile(_ contents: [UInt8], remotePath: String, fileName: String? = nil, permissions: UInt16 = 0o644) async throws -> SSHSCPTransferResult
swift.property	SSHConnection.stateEvents	s:9Traversio13SSHConnectionV11stateEventsAA0B18StateEventSequenceVvp	let stateEvents: SSHConnectionStateEventSequence
swift.method	SSHConnection.uploadSCPFile(from:to:fileName:permissions:)	s:9Traversio13SSHConnectionV13uploadSCPFile4from2to8fileName11permissionsAA20SSHSCPTransferResultV10Foundation3URLV_S2SSgs6UInt16VSgtYaKF	func uploadSCPFile(from localURL: URL, to remotePath: String, fileName: String? = nil, permissions: UInt16? = nil) async throws -> SSHSCPTransferResult
swift.method	SSHConnection.withDynamicPortForwarding(localHost:localPort:socks5Authentication:_:)	s:9Traversio13SSHConnectionV25withDynamicPortForwarding9localHost0gE020socks5Authentication_xSS_s6UInt16VAA014SSHSOCKS5ProxyJ0OxAA010SSHDynamicE7ForwardVYaKXEtYaKlF	func withDynamicPortForwarding<Result>(localHost: String = "127.0.0.1", localPort: UInt16 = 0, socks5Authentication: SSHSOCKS5ProxyAuthentication = .none, _ body: (SSHDynamicPortForward) async throws -> Result) async throws -> Result
swift.method	SSHConnection.withLocalPortForwarding(targetHost:targetPort:localHost:localPort:_:)	s:9Traversio13SSHConnectionV23withLocalPortForwarding10targetHost0gE005localH00iE0_xSS_s6UInt16VSSAJxAA08SSHLocalE7ForwardVYaKXEtYaKlF	func withLocalPortForwarding<Result>(targetHost: String, targetPort: UInt16, localHost: String = "127.0.0.1", localPort: UInt16 = 0, _ body: (SSHLocalPortForward) async throws -> Result) async throws -> Result
swift.method	SSHConnection.withRemotePortForwardListener(remoteHost:remotePort:_:)	s:9Traversio13SSHConnectionV29withRemotePortForwardListener10remoteHost0hE0_xSS_s6UInt16VxAA09SSHRemoteefG0VYaKXEtYaKlF	func withRemotePortForwardListener<Result>(remoteHost: String = "127.0.0.1", remotePort: UInt16 = 0, _ body: (SSHRemotePortForwardListener) async throws -> Result) async throws -> Result
swift.method	SSHConnection.withRemotePortForwarding(localPort:remoteHost:remotePort:localHost:_:)	s:9Traversio13SSHConnectionV24withRemotePortForwarding05localE010remoteHost0hE00gI0_xs6UInt16V_SSAJSSxAA09SSHRemoteE7ForwardVYaKXEtYaKlF	func withRemotePortForwarding<Result>(localPort: UInt16, remoteHost: String = "127.0.0.1", remotePort: UInt16 = 0, localHost: String = "127.0.0.1", _ body: (SSHRemotePortForward) async throws -> Result) async throws -> Result
swift.method	SSHConnection.withRemoteStreamLocalForwardListener(socketPath:_:)	s:9Traversio13SSHConnectionV36withRemoteStreamLocalForwardListener10socketPath_xSS_xAA09SSHRemoteefgH0VYaKXEtYaKlF	func withRemoteStreamLocalForwardListener<Result>(socketPath: String, _ body: (SSHRemoteStreamLocalForwardListener) async throws -> Result) async throws -> Result
swift.struct	SSHConnectionFailure	s:9Traversio20SSHConnectionFailureV	struct SSHConnectionFailure
swift.property	SSHConnectionFailure.code	s:9Traversio20SSHConnectionFailureV4codeAA0bC4CodeOvp	let code: SSHConnectionFailureCode
swift.property	SSHConnectionFailure.diagnosticReport	s:9Traversio20SSHConnectionFailureV16diagnosticReportSSvp	var diagnosticReport: String { get }
swift.property	SSHConnectionFailure.diagnostics	s:9Traversio20SSHConnectionFailureV11diagnosticsAA0bC11DiagnosticsVvp	let diagnostics: SSHConnectionFailureDiagnostics
swift.property	SSHConnectionFailure.message	s:9Traversio20SSHConnectionFailureV7messageSSvp	let message: String
swift.property	SSHConnectionFailure.stage	s:9Traversio20SSHConnectionFailureV5stageAA0bC5StageOvp	let stage: SSHConnectionFailureStage
swift.struct	SSHConnectionFailureCallbackDetails	s:9Traversio35SSHConnectionFailureCallbackDetailsV	struct SSHConnectionFailureCallbackDetails
swift.property	SSHConnectionFailureCallbackDetails.diagnosticCode	s:9Traversio35SSHConnectionFailureCallbackDetailsV14diagnosticCodeSSSgvp	let diagnosticCode: String?
swift.property	SSHConnectionFailureCallbackDetails.diagnosticSummary	s:9Traversio35SSHConnectionFailureCallbackDetailsV17diagnosticSummarySSSgvp	let diagnosticSummary: String?
swift.property	SSHConnectionFailureCallbackDetails.errorType	s:9Traversio35SSHConnectionFailureCallbackDetailsV9errorTypeSSvp	let errorType: String
swift.property	SSHConnectionFailureCallbackDetails.source	s:9Traversio35SSHConnectionFailureCallbackDetailsV6sourceAA0bcD6SourceOvp	let source: SSHConnectionFailureCallbackSource
swift.enum	SSHConnectionFailureCallbackSource	s:9Traversio34SSHConnectionFailureCallbackSourceO	enum SSHConnectionFailureCallbackSource
swift.enum.case	SSHConnectionFailureCallbackSource.hostKeyPolicy	s:9Traversio34SSHConnectionFailureCallbackSourceO13hostKeyPolicyyA2CmF	case hostKeyPolicy
swift.init	SSHConnectionFailureCallbackSource.init(rawValue:)	s:9Traversio34SSHConnectionFailureCallbackSourceO8rawValueACSgSS_tcfc	init?(rawValue: String)
swift.enum.case	SSHConnectionFailureCallbackSource.keyboardInteractiveResponse	s:9Traversio34SSHConnectionFailureCallbackSourceO27keyboardInteractiveResponseyA2CmF	case keyboardInteractiveResponse
swift.enum.case	SSHConnectionFailureCallbackSource.passwordChangeResponse	s:9Traversio34SSHConnectionFailureCallbackSourceO22passwordChangeResponseyA2CmF	case passwordChangeResponse
swift.enum.case	SSHConnectionFailureCallbackSource.publicKeySignature	s:9Traversio34SSHConnectionFailureCallbackSourceO18publicKeySignatureyA2CmF	case publicKeySignature
swift.enum	SSHConnectionFailureCode	s:9Traversio24SSHConnectionFailureCodeO	enum SSHConnectionFailureCode
swift.enum.case	SSHConnectionFailureCode.algorithmNegotiationFailed	s:9Traversio24SSHConnectionFailureCodeO26algorithmNegotiationFailedyA2CmF	case algorithmNegotiationFailed
swift.enum.case	SSHConnectionFailureCode.authenticationProtocolViolation	s:9Traversio24SSHConnectionFailureCodeO31authenticationProtocolViolationyA2CmF	case authenticationProtocolViolation
swift.enum.case	SSHConnectionFailureCode.callbackFailed	s:9Traversio24SSHConnectionFailureCodeO14callbackFailedyA2CmF	case callbackFailed
swift.enum.case	SSHConnectionFailureCode.hostKeyTrustFailed	s:9Traversio24SSHConnectionFailureCodeO18hostKeyTrustFailedyA2CmF	case hostKeyTrustFailed
swift.enum.case	SSHConnectionFailureCode.hostKeyVerificationFailed	s:9Traversio24SSHConnectionFailureCodeO25hostKeyVerificationFailedyA2CmF	case hostKeyVerificationFailed
swift.init	SSHConnectionFailureCode.init(rawValue:)	s:9Traversio24SSHConnectionFailureCodeO8rawValueACSgSS_tcfc	init?(rawValue: String)
swift.enum.case	SSHConnectionFailureCode.invalidAuthenticationMaterial	s:9Traversio24SSHConnectionFailureCodeO29invalidAuthenticationMaterialyA2CmF	case invalidAuthenticationMaterial
swift.enum.case	SSHConnectionFailureCode.invalidConfiguration	s:9Traversio24SSHConnectionFailureCodeO20invalidConfigurationyA2CmF	case invalidConfiguration
swift.enum.case	SSHConnectionFailureCode.keyDerivationFailed	s:9Traversio24SSHConnectionFailureCodeO19keyDerivationFailedyA2CmF	case keyDerivationFailed
swift.enum.case	SSHConnectionFailureCode.keyExchangeFailed	s:9Traversio24SSHConnectionFailureCodeO17keyExchangeFailedyA2CmF	case keyExchangeFailed
swift.enum.case	SSHConnectionFailureCode.noMatchingKnownHost	s:9Traversio24SSHConnectionFailureCodeO19noMatchingKnownHostyA2CmF	case noMatchingKnownHost
swift.enum.case	SSHConnectionFailureCode.remoteDisconnect	s:9Traversio24SSHConnectionFailureCodeO16remoteDisconnectyA2CmF	case remoteDisconnect
swift.enum.case	SSHConnectionFailureCode.timeout	s:9Traversio24SSHConnectionFailureCodeO7timeoutyA2CmF	case timeout
swift.enum.case	SSHConnectionFailureCode.transportClosed	s:9Traversio24SSHConnectionFailureCodeO15transportClosedyA2CmF	case transportClosed
swift.enum.case	SSHConnectionFailureCode.transportError	s:9Traversio24SSHConnectionFailureCodeO14transportErroryA2CmF	case transportError
swift.enum.case	SSHConnectionFailureCode.unexpectedAuthenticationMessage	s:9Traversio24SSHConnectionFailureCodeO31unexpectedAuthenticationMessageyA2CmF	case unexpectedAuthenticationMessage
swift.enum.case	SSHConnectionFailureCode.unexpectedServiceResponse	s:9Traversio24SSHConnectionFailureCodeO25unexpectedServiceResponseyA2CmF	case unexpectedServiceResponse
swift.enum.case	SSHConnectionFailureCode.unexpectedTransportMessage	s:9Traversio24SSHConnectionFailureCodeO26unexpectedTransportMessageyA2CmF	case unexpectedTransportMessage
swift.struct	SSHConnectionFailureDiagnostics	s:9Traversio31SSHConnectionFailureDiagnosticsV	struct SSHConnectionFailureDiagnostics
swift.property	SSHConnectionFailureDiagnostics.callbackFailure	s:9Traversio31SSHConnectionFailureDiagnosticsV08callbackC0AA0bC15CallbackDetailsVSgvp	let callbackFailure: SSHConnectionFailureCallbackDetails?
swift.property	SSHConnectionFailureDiagnostics.clientIdentification	s:9Traversio31SSHConnectionFailureDiagnosticsV20clientIdentificationSSvp	let clientIdentification: String
swift.property	SSHConnectionFailureDiagnostics.didReceiveServerExtensionInfo	s:9Traversio31SSHConnectionFailureDiagnosticsV29didReceiveServerExtensionInfoSbvp	let didReceiveServerExtensionInfo: Bool
swift.property	SSHConnectionFailureDiagnostics.endpointHost	s:9Traversio31SSHConnectionFailureDiagnosticsV12endpointHostSSvp	let endpointHost: String
swift.property	SSHConnectionFailureDiagnostics.endpointPort	s:9Traversio31SSHConnectionFailureDiagnosticsV12endpointPorts6UInt16Vvp	let endpointPort: UInt16
swift.property	SSHConnectionFailureDiagnostics.keepaliveIntervalNanoseconds	s:9Traversio31SSHConnectionFailureDiagnosticsV28keepaliveIntervalNanosecondss6UInt64VSgvp	let keepaliveIntervalNanoseconds: UInt64?
swift.property	SSHConnectionFailureDiagnostics.keepaliveReplyTimeoutNanoseconds	s:9Traversio31SSHConnectionFailureDiagnosticsV32keepaliveReplyTimeoutNanosecondss6UInt64VSgvp	let keepaliveReplyTimeoutNanoseconds: UInt64?
swift.property	SSHConnectionFailureDiagnostics.negotiatedAlgorithms	s:9Traversio31SSHConnectionFailureDiagnosticsV20negotiatedAlgorithmsAA022SSHNegotiatedTransportF0VSgvp	let negotiatedAlgorithms: SSHNegotiatedTransportAlgorithms?
swift.property	SSHConnectionFailureDiagnostics.preIdentificationLines	s:9Traversio31SSHConnectionFailureDiagnosticsV22preIdentificationLinesSaySSGvp	let preIdentificationLines: [String]
swift.property	SSHConnectionFailureDiagnostics.remoteDebugMessages	s:9Traversio31SSHConnectionFailureDiagnosticsV19remoteDebugMessagesSayAA09SSHRemoteF7MessageVGvp	let remoteDebugMessages: [SSHRemoteDebugMessage]
swift.property	SSHConnectionFailureDiagnostics.remoteDisconnect	s:9Traversio31SSHConnectionFailureDiagnosticsV16remoteDisconnectAA09SSHRemoteF0VSgvp	let remoteDisconnect: SSHRemoteDisconnect?
swift.property	SSHConnectionFailureDiagnostics.remoteIdentification	s:9Traversio31SSHConnectionFailureDiagnosticsV20remoteIdentificationSSSgvp	let remoteIdentification: String?
swift.property	SSHConnectionFailureDiagnostics.responseTimeoutNanoseconds	s:9Traversio31SSHConnectionFailureDiagnosticsV26responseTimeoutNanosecondss6UInt64VSgvp	let responseTimeoutNanoseconds: UInt64?
swift.property	SSHConnectionFailureDiagnostics.serverExtensionNames	s:9Traversio31SSHConnectionFailureDiagnosticsV20serverExtensionNamesSaySSGvp	let serverExtensionNames: [String]
swift.property	SSHConnectionFailureDiagnostics.serverSignatureAlgorithms	s:9Traversio31SSHConnectionFailureDiagnosticsV25serverSignatureAlgorithmsSaySSGSgvp	let serverSignatureAlgorithms: [String]?
swift.property	SSHConnectionFailureDiagnostics.username	s:9Traversio31SSHConnectionFailureDiagnosticsV8usernameSSvp	let username: String
swift.enum	SSHConnectionFailureStage	s:9Traversio25SSHConnectionFailureStageO	enum SSHConnectionFailureStage
swift.enum.case	SSHConnectionFailureStage.authentication	s:9Traversio25SSHConnectionFailureStageO14authenticationyA2CmF	case authentication
swift.enum.case	SSHConnectionFailureStage.configuration	s:9Traversio25SSHConnectionFailureStageO13configurationyA2CmF	case configuration
swift.enum.case	SSHConnectionFailureStage.hostKeyTrust	s:9Traversio25SSHConnectionFailureStageO12hostKeyTrustyA2CmF	case hostKeyTrust
swift.enum.case	SSHConnectionFailureStage.hostKeyVerification	s:9Traversio25SSHConnectionFailureStageO19hostKeyVerificationyA2CmF	case hostKeyVerification
swift.enum.case	SSHConnectionFailureStage.identification	s:9Traversio25SSHConnectionFailureStageO14identificationyA2CmF	case identification
swift.init	SSHConnectionFailureStage.init(rawValue:)	s:9Traversio25SSHConnectionFailureStageO8rawValueACSgSS_tcfc	init?(rawValue: String)
swift.enum.case	SSHConnectionFailureStage.keyExchange	s:9Traversio25SSHConnectionFailureStageO11keyExchangeyA2CmF	case keyExchange
swift.enum.case	SSHConnectionFailureStage.transport	s:9Traversio25SSHConnectionFailureStageO9transportyA2CmF	case transport
swift.struct	SSHConnectionLatency	s:9Traversio20SSHConnectionLatencyV	struct SSHConnectionLatency
swift.init	SSHConnectionLatency.init(roundTripTimeNanoseconds:measuredAtUptimeNanoseconds:source:)	s:9Traversio20SSHConnectionLatencyV24roundTripTimeNanoseconds016measuredAtUptimeG06sourceACs6UInt64V_AhA0bC6SourceOtcfc	init(roundTripTimeNanoseconds: UInt64, measuredAtUptimeNanoseconds: UInt64, source: SSHConnectionLatencySource)
swift.property	SSHConnectionLatency.measuredAtUptimeNanoseconds	s:9Traversio20SSHConnectionLatencyV27measuredAtUptimeNanosecondss6UInt64Vvp	let measuredAtUptimeNanoseconds: UInt64
swift.property	SSHConnectionLatency.roundTripTime	s:9Traversio20SSHConnectionLatencyV13roundTripTimeSdvp	var roundTripTime: TimeInterval { get }
swift.property	SSHConnectionLatency.roundTripTimeMilliseconds	s:9Traversio20SSHConnectionLatencyV25roundTripTimeMillisecondsSdvp	var roundTripTimeMilliseconds: Double { get }
swift.property	SSHConnectionLatency.roundTripTimeNanoseconds	s:9Traversio20SSHConnectionLatencyV24roundTripTimeNanosecondss6UInt64Vvp	let roundTripTimeNanoseconds: UInt64
swift.property	SSHConnectionLatency.source	s:9Traversio20SSHConnectionLatencyV6sourceAA0bC6SourceOvp	let source: SSHConnectionLatencySource
swift.enum	SSHConnectionLatencySource	s:9Traversio26SSHConnectionLatencySourceO	enum SSHConnectionLatencySource
swift.enum.case	SSHConnectionLatencySource.channelOpen	s:9Traversio26SSHConnectionLatencySourceO11channelOpenyA2CmF	case channelOpen
swift.enum.case	SSHConnectionLatencySource.channelRequest	s:9Traversio26SSHConnectionLatencySourceO14channelRequestyA2CmF	case channelRequest
swift.enum.case	SSHConnectionLatencySource.globalRequest	s:9Traversio26SSHConnectionLatencySourceO13globalRequestyA2CmF	case globalRequest
swift.init	SSHConnectionLatencySource.init(rawValue:)	s:9Traversio26SSHConnectionLatencySourceO8rawValueACSgSS_tcfc	init?(rawValue: String)
swift.enum.case	SSHConnectionLatencySource.keepalive	s:9Traversio26SSHConnectionLatencySourceO9keepaliveyA2CmF	case keepalive
swift.struct	SSHConnectionMetadata	s:9Traversio21SSHConnectionMetadataV	struct SSHConnectionMetadata
swift.property	SSHConnectionMetadata.authenticationBanners	s:9Traversio21SSHConnectionMetadataV21authenticationBannersSayAA23SSHAuthenticationBannerVGvp	let authenticationBanners: [SSHAuthenticationBanner]
swift.property	SSHConnectionMetadata.clientIdentification	s:9Traversio21SSHConnectionMetadataV20clientIdentificationSSvp	let clientIdentification: String
swift.property	SSHConnectionMetadata.endpointHost	s:9Traversio21SSHConnectionMetadataV12endpointHostSSvp	let endpointHost: String
swift.property	SSHConnectionMetadata.endpointPort	s:9Traversio21SSHConnectionMetadataV12endpointPorts6UInt16Vvp	let endpointPort: UInt16
swift.property	SSHConnectionMetadata.hostKeyAlgorithm	s:9Traversio21SSHConnectionMetadataV16hostKeyAlgorithmSSvp	let hostKeyAlgorithm: String
swift.property	SSHConnectionMetadata.hostKeyFingerprintSHA256	s:9Traversio21SSHConnectionMetadataV24hostKeyFingerprintSHA256SSvp	let hostKeyFingerprintSHA256: String
swift.property	SSHConnectionMetadata.hostKeyTrustMethod	s:9Traversio21SSHConnectionMetadataV18hostKeyTrustMethodAA07SSHHostefG0Ovp	let hostKeyTrustMethod: SSHHostKeyTrustMethod
swift.init	SSHConnectionMetadata.init(endpointHost:endpointPort:username:clientIdentification:remoteIdentification:preIdentificationLines:authenticationBanners:hostKeyAlgorithm:hostKeyFingerprintSHA256:hostKeyTrustMethod:)	s:9Traversio21SSHConnectionMetadataV12endpointHost0D4Port8username20clientIdentification06remoteI003preI5Lines21authenticationBanners16hostKeyAlgorithm0oP17FingerprintSHA2560oP11TrustMethodACSS_s6UInt16VS3SSaySSGSayAA23SSHAuthenticationBannerVGS2SAA07SSHHostptU0Otcfc	init(endpointHost: String, endpointPort: UInt16, username: String, clientIdentification: String, remoteIdentification: String, preIdentificationLines: [String], authenticationBanners: [SSHAuthenticationBanner] = [], hostKeyAlgorithm: String, hostKeyFingerprintSHA256: String, hostKeyTrustMethod: SSHHostKeyTrustMethod)
swift.property	SSHConnectionMetadata.preIdentificationLines	s:9Traversio21SSHConnectionMetadataV22preIdentificationLinesSaySSGvp	let preIdentificationLines: [String]
swift.property	SSHConnectionMetadata.remoteIdentification	s:9Traversio21SSHConnectionMetadataV20remoteIdentificationSSvp	let remoteIdentification: String
swift.property	SSHConnectionMetadata.username	s:9Traversio21SSHConnectionMetadataV8usernameSSvp	let username: String
swift.enum	SSHConnectionNetworkInterface	s:9Traversio29SSHConnectionNetworkInterfaceO	enum SSHConnectionNetworkInterface
swift.enum.case	SSHConnectionNetworkInterface.cellular	s:9Traversio29SSHConnectionNetworkInterfaceO8cellularyA2CmF	case cellular
swift.init	SSHConnectionNetworkInterface.init(rawValue:)	s:9Traversio29SSHConnectionNetworkInterfaceO8rawValueACSgSS_tcfc	init?(rawValue: String)
swift.enum.case	SSHConnectionNetworkInterface.loopback	s:9Traversio29SSHConnectionNetworkInterfaceO8loopbackyA2CmF	case loopback
swift.enum.case	SSHConnectionNetworkInterface.other	s:9Traversio29SSHConnectionNetworkInterfaceO5otheryA2CmF	case other
swift.enum.case	SSHConnectionNetworkInterface.wifi	s:9Traversio29SSHConnectionNetworkInterfaceO4wifiyA2CmF	case wifi
swift.enum.case	SSHConnectionNetworkInterface.wiredEthernet	s:9Traversio29SSHConnectionNetworkInterfaceO13wiredEthernetyA2CmF	case wiredEthernet
swift.struct	SSHConnectionNetworkPath	s:9Traversio24SSHConnectionNetworkPathV	struct SSHConnectionNetworkPath
swift.property	SSHConnectionNetworkPath.availableInterfaces	s:9Traversio24SSHConnectionNetworkPathV19availableInterfacesSayAA0bC9InterfaceOGvp	let availableInterfaces: [SSHConnectionNetworkInterface]
swift.init	SSHConnectionNetworkPath.init(status:availableInterfaces:isExpensive:isConstrained:supportsIPv4:supportsIPv6:)	s:9Traversio24SSHConnectionNetworkPathV6status19availableInterfaces11isExpensive0H11Constrained12supportsIPv40K4IPv6AcA0bcD6StatusO_SayAA0bC9InterfaceOGS4btcfc	init(status: SSHConnectionNetworkPathStatus, availableInterfaces: [SSHConnectionNetworkInterface], isExpensive: Bool, isConstrained: Bool, supportsIPv4: Bool, supportsIPv6: Bool)
swift.property	SSHConnectionNetworkPath.isConstrained	s:9Traversio24SSHConnectionNetworkPathV13isConstrainedSbvp	let isConstrained: Bool
swift.property	SSHConnectionNetworkPath.isExpensive	s:9Traversio24SSHConnectionNetworkPathV11isExpensiveSbvp	let isExpensive: Bool
swift.property	SSHConnectionNetworkPath.status	s:9Traversio24SSHConnectionNetworkPathV6statusAA0bcD6StatusOvp	let status: SSHConnectionNetworkPathStatus
